State or Nation,Cycle 1 Total Number of Health Deficiencies,Cycle 1 Total Number of Fire Safety Deficiencies,Cycle 2 Total Number of Health Deficiencies,Cycle 2 Total Number of Fire Safety Deficiencies,Cycle 3 Total Number of Health Deficiencies,Cycle 3 Total Number of Fire Safety Deficiencies,Average Number of Residents per Day,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Registered Nurse turnover,Number of administrators who have left the nursing home,Nursing Case-Mix Index,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Number of Fines,Fine Amount in Dollars,Percentage of long stay residents whose need for help with daily activities has increased,Percentage of long stay residents who lose too much weight,Percentage of long stay residents with a catheter inserted and left in their bladder,Percentage of long stay residents with a urinary tract infection,Percentage of long stay residents who have depressive symptoms,Percentage of long stay residents who were physically restrained,Percentage of long stay residents experiencing one or more falls with major injury,Percentage of long stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of long stay residents who received an antipsychotic medication,Percentage of short stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of short stay residents who newly received an antipsychotic medication,Percentage of long stay residents whose ability to walk independently worsened,Percentage of long stay residents who received an antianxiety or hypnotic medication,Percentage of long stay residents assessed and appropriately given the seasonal influenza vaccine,Percentage of short stay residents who were assessed and appropriately given the seasonal influenza vaccine,Percentage of long stay residents with pressure ulcers,Percentage of long stay residents with new or worsened bowel or bladder incontinence,Percentage of short stay residents who were rehospitalized after a nursing home admission,Percentage of short stay residents who had an outpatient emergency department visit,Number of hospitalizations per 1000 long-stay resident days,Number of outpatient emergency department visits per 1000 long-stay resident days,Processing Date
NATION,9.6,4.8,9.5,4.7,8.8,4.3,83.8,2.32,0.87,0.67067,1.54,3.8647,3.42249,0.47,0.07,47.5,44.4,0.6,1.36761,0.66673,3.84203,3.40242,1.3,37238,17.040617,5.615903,1.328114,1.890436,9.783769,0.134884,3.295374,93.371911,14.556779,81.648835,1.642505,21.286128,19.931573,95.25755,78.984524,5.549363,20.920512,24.965607,12.77498,1.838899,1.742278,2025-05-01
AK,7.3,4.4,8.0,6.6,10.6,7.3,36.9,4.17,0.65,2.08324,2.73,6.90134,6.12712,1.65,0.08,47.0,42.8,0.4,1.33313,0.65376,3.76727,3.33621,0.7,21150,15.913306,5.731972,1.723499,3.332038,4.857262,0.026882,3.932311,96.207144,18.078438,84.194923,0.594491,28.066437,16.97576,96.001753,84.651014,6.693467,22.347124,12.989744,10.367651,1.057428,1.726751,2025-05-01
AL,3.6,3.4,2.8,3.4,3.8,3.2,96.7,2.46,0.79,0.62,1.41,3.87739,3.26791,0.34,0.03,48.1,41.2,0.5,1.22577,0.60111,3.46387,3.06752,0.6,11531,15.156867,5.912265,1.738907,2.958267,0.940657,0.63492,3.353194,92.131821,20.500521,82.968725,2.122975,19.802806,24.796195,94.926441,79.984144,6.331263,13.77402,25.89751,12.646404,1.914499,1.753958,2025-05-01
AR,7.3,2.0,8.1,2.1,8.5,2.0,75.8,2.7,0.97,0.40885,1.37,4.07671,3.4867,0.28,0.03,50.9,45.1,0.4,1.20909,0.59293,3.41675,3.02579,0.5,8936,12.403379,5.353736,1.072095,1.335742,1.537633,0.084624,3.876681,94.307623,11.083963,80.278062,1.347773,16.31627,22.231452,94.98279,74.881084,5.427637,16.415134,26.70888,14.667761,2.054993,2.143601,2025-05-01
AZ,6.4,1.1,7.0,2.7,8.2,3.1,82.4,2.34,1.04,0.72013,1.76,4.09178,3.61207,0.51,0.1,46.9,44.0,0.4,1.41126,0.69207,3.98806,3.53173,0.5,8594,13.118712,5.99568,1.241648,1.454838,4.65123,0.272699,2.076042,97.321729,10.725149,91.854594,0.827465,19.840868,21.025077,95.27453,87.434934,5.619045,21.908822,25.315721,11.204166,1.707383,1.373881,2025-05-01
CA,16.1,6.7,17.4,7.5,15.6,7.0,86.5,2.62,1.23,0.61281,1.84,4.45895,4.04188,0.47,0.09,40.0,41.3,0.5,1.48479,0.72813,4.19584,3.71574,1.5,27878,12.23384,4.503301,1.348316,1.363285,6.404653,0.335643,1.665248,98.435174,10.492207,94.174413,1.431551,15.124474,13.689205,98.387782,93.371358,5.186778,12.111857,24.281353,11.548637,2.209141,1.531886,2025-05-01
CO,8.6,7.1,8.0,6.4,7.4,5.9,71.0,2.26,0.7,0.85157,1.55,3.81317,3.38214,0.62,0.08,52.7,50.0,0.7,1.31323,0.644,3.71103,3.2864,1.9,30729,17.8263,5.775442,1.073707,1.458743,5.494775,0.039578,3.24552,92.149874,18.493426,77.021655,1.391097,20.349877,11.179383,95.359323,75.191384,4.208772,23.99879,20.673392,13.293531,1.380771,1.635118,2025-05-01
CT,12.2,5.1,8.2,3.4,8.3,2.0,100.2,2.23,0.83,0.6907,1.52,3.75357,3.37685,0.46,0.08,38.9,40.5,0.5,1.3252,0.64987,3.74486,3.31636,1.1,27659,20.247491,6.612993,1.033882,1.743392,11.897625,0.017698,3.524465,87.618532,17.228243,68.539677,1.481995,22.178315,17.231973,93.26706,65.830867,4.860991,25.08907,27.438438,11.62622,2.037221,1.492343,2025-05-01
DC,16.8,2.0,20.5,2.4,15.9,2.4,120.2,2.61,0.61,1.6653,2.28,4.88811,4.4759,1.42,0.11,35.8,35.7,0.4,1.51045,0.74071,4.26834,3.77994,1.6,119825,22.418611,4.653724,1.777143,1.875133,3.579156,0.648015,1.151497,91.663213,7.466673,68.743798,1.001458,26.229765,12.553569,97.848434,73.771725,8.359211,22.648952,22.679299,5.792289,1.064089,0.587295,2025-05-01
DE,9.9,1.3,12.1,1.4,11.2,0.8,88.4,2.39,0.97,0.98519,1.96,4.35015,3.92805,0.7,0.1,45.2,42.7,0.5,1.33448,0.65442,3.77108,3.33958,1.1,64240,17.375131,6.527596,0.986658,2.082553,5.327316,0.174141,2.65092,93.936625,10.639449,80.850623,0.960182,24.483734,20.06881,95.921463,81.928524,4.20654,22.92076,24.489739,11.523157,1.901262,1.434047,2025-05-01
