Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
National,,14757,53,88,440,1455,9.9,73.2,20.3,6.5,2.9,2.8,2.8,3.4,3.9,3.4,0.7,47.5,44.4,0.6,18802,1.3,549597792.6,37228.06,3114,0.2,24.9,12.8,1.6,2.5,52.4,79,81.7,1.81,1.74,14.6,3.3,5.5,1.9,1.3,21.5,17,95.3,93.4,0.1,20.9,5.6,9.8,19.9,10.6,40.4,7.6
A&M HEALTHCARE INVESTMENTS,641,2,2,0,0,1,50,100,0,0,1.5,1.5,2,3,3.4,3,0.6,44.5,72.7,0.5,2,1,119162.37,59581.19,3,1.5,24.9,24.1,3.1,5.7,23.3,73.8,87.1,1.56,1.45,15.8,2.7,4.4,0,1.2,18.7,16.3,99.1,97.9,0,29.4,15.5,24.2,39.9,11.2,70.4,9.8
"ABBY GL, LLC",1,6,1,0,0,3,50,100,0,0,2.2,2.2,3.5,3.8,4.2,3.8,0.5,36.3,33.9,0.3,4,0.7,351350.43,58558.41,6,1,25.4,11.6,2.1,0.5,42.2,98.1,99.5,2.5,1.82,11.8,0.9,4.6,0.4,0.2,10.4,8.1,100,100,0.2,9.4,2.1,5.3,18.9,10.5,46.5,6.2
ABCM CORP,718,28,1,0,0,0,0,100,0,0,4.1,4,3.4,3.1,3.7,3.2,0.6,35.8,27.6,0.4,7,0.3,156584.25,5592.29,2,0.1,21.4,18.4,2,2.7,51,77.6,90.6,1.22,2.23,23.7,2.6,3.6,3.3,2.4,17.4,16.1,97.7,98.4,0,26.7,4.2,1.5,19.1,10.2,47.7,9
ABRAHAM BAK & MENACHEM GASTWIRTH,4,16,1,0,0,2,12.5,100,0,0,2.4,2.3,2.8,3.4,4.4,4,0.4,39.2,46.8,0.7,12,0.8,278929.56,17433.1,3,0.2,26.7,9.9,2.9,0.9,46.5,98.3,99.6,2.65,1.16,13.8,1.4,6.3,1.1,1.1,10.2,12.2,99.7,99.9,0,11.8,4.8,18,14.8,11.1,50.4,11.3
ABRAHAM KRAUS,615,9,3,0,1,1,11.1,100,0,0,2.4,2.2,2.8,3.8,3.6,3.2,0.6,39.1,32.4,0.8,8,0.9,364349.25,40483.25,0,0,29.3,7.9,1.5,2.9,45.2,90.8,86.9,1.71,0.84,13.6,1.2,4.9,0.4,0.2,14.7,11.7,99.6,97.9,0,15.3,6,6.9,19.9,11.5,22.2,1.7
ABRAHAM SMILOW,662,6,1,0,0,0,0,100,0,0,1.7,1.7,2.8,3,3.3,3.1,0.6,48.8,50.4,0.4,7,1.2,192904.66,32150.78,1,0.2,20.1,5.8,1.7,3.2,50.2,57.4,50.3,1.49,1.3,20.3,2.2,6,1.9,2.6,32.5,26.1,91.2,80.2,0,28.3,7.6,6.9,22.8,10.7,25.7,1.7
ABRI HEALTH CARE,5,5,1,0,0,0,0,80,0,20,2,2.2,1.4,3,3.2,2.9,0.4,60.3,63.5,1.4,11,2.2,283111.6,56622.32,1,0.2,28.2,16.3,1.3,2.9,59.1,85,88.5,1.87,2.46,5.6,3.2,4.8,0.3,1.1,23.7,22.9,99,99.2,0,20.4,4.6,5.6,18.5,10.7,64,0
ABSOLUT CARE,6,6,1,0,0,0,0,100,0,0,3.3,3.2,2.8,3.8,3.6,3,0.5,52.5,45.5,1,1,0.2,46117.5,7686.25,0,0,20.5,14.8,1.5,2.5,55,78.7,71.9,1.38,1.07,17.5,2.9,5.1,0.9,0.4,19.9,15.7,96.2,88.1,0,22.3,5.1,3.4,18.6,10.4,49,8.7
ACCOLADE HEALTHCARE,7,7,1,0,0,1,14.3,100,0,0,2.3,2.4,1.6,2.9,3.6,3.1,0.6,52.5,57.5,0.1,21,3,615981.17,87997.31,4,0.6,27.8,12.8,1.8,2.8,44.8,76.3,88.3,1.63,1.76,11.2,1.9,5.6,0.8,0.9,27,19.9,95.9,95.6,0,26.4,10,21,24.5,11.4,43.6,9.1
