ENROLLMENT ID - BUYER,ENROLLMENT STATE - BUYER,PROVIDER TYPE CODE - BUYER,PROVIDER TYPE TEXT - BUYER,NPI - BUYER,MULTIPLE NPI FLAG - BUYER,CCN - BUYER,ASSOCIATE ID - BUYER,ORGANIZATION NAME - BUYER,DOING BUSINESS AS NAME - BUYER,CHOW TYPE CODE,CHOW TYPE TEXT,EFFECTIVE DATE,ENROLLMENT ID - SELLER,ENROLLMENT STATE - SELLER,PROVIDER TYPE CODE - SELLER,PROVIDER TYPE TEXT - SELLER,NPI - SELLER,MULTIPLE NPI FLAG - SELLER,CCN - SELLER,ASSOCIATE ID - SELLER,ORGANIZATION NAME - SELLER,DOING BUSINESS AS NAME - SELLER
O20090909000346,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1649267733,N,375243,4981759388,JAN FRANCES CARE CENTER LLC,JAN FRANCES CARE CENTER,CH,CHANGE OF OWNERSHIP,2020-12-29,O20170810002771,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1649267733,N,375243,7618248808,CITY OF HUGO,JAN FRANCES CARE CENTER
O20110815000746,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1467730036,N,375492,6103095807,HOMESTEAD OF HUGO LLC,HOMESTEAD OF HUGO,CH,CHANGE OF OWNERSHIP,2020-12-28,O20170818000174,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1467730036,N,375492,7618248808,CITY OF HUGO,HOMESTEAD OF HUGO
O20140609000421,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1336551639,N,055656,2668696931,CHICO HEALTHCARE & WELLNESS CENTRE LP,RIVERSIDE POINT HEALTHCARE & WELLNESS CENTRE,CH,CHANGE OF OWNERSHIP,2023-10-11,O20111230000151,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1992794861,N,055656,2860564341,"GLAD INVESTMENTS, INC.",RIVERSIDE CONVALESCENT HOSPITAL
O20150318000425,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1831592336,N,055516,6406173145,CHICO TERRACE HEALTHCARE & WELLNESS CENTRE LP,CHICO TERRACE CARE CENTER,CH,CHANGE OF OWNERSHIP,2023-10-11,O20070719000508,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1740326420,N,055516,6002917135,"WINDSOR CHICO CARE CENTER, LLC",WINDSOR CHICO CARE CENTER
O20150321000310,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1912338476,N,056258,3678890175,RIVER VALLEY HEALTHCARE & WELLNESS CENTRE LP,,CH,CHANGE OF OWNERSHIP,2023-10-11,O20070724000377,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1487790937,N,056258,5092816801,"WINDSOR REDDING CARE CENTER, LLC",WINDSOR REDDING CARE CENTER
O20150321000340,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1356759724,N,056074,3577880087,CHICO HEIGHTS REHABILITATION & WELLNESS CENTRE LP,AUTUMN CREEK POST ACUTE,CH,CHANGE OF OWNERSHIP,2023-10-11,O20070724000619,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1154467835,N,056074,7315048154,"WINDSOR CHICO CREEK CARE AND REHABILITATION, LLC",WINDSOR CHICO CREEK CARE AND REHABILITATION CENTER
O20150323001682,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1700294972,N,056280,8628395175,BROOKDALE HEALTHCARE & WELLNESS CENTRE LP,BAY MARINA POST ACUTE,CH,CHANGE OF OWNERSHIP,2023-10-11,O20101123000250,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1386958965,N,056280,8224224787,"WINDSOR OAKRIDGE CARE CENTER, LLC",WINDSOR HEALTHCARE CENTER OF OAKLAND
O20150522000413,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1396753224,N,335700,2567375421,LONG ISLAND JEWISH MEDICAL CENTER,NORTH SHORE-LIJ ORZAC CENTER FOR REHABILITATION,CH,CHANGE OF OWNERSHIP,2016-01-14,O20050804000242,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1396753224,N,335700,0941192116,FRANKLIN MEDICAL CENTER PSYCHIATRIC UNIT,ORZAC NURSING HOME
O20150703000036,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1184014680,N,555682,9739491705,MELON HOLDINGS LLC,MARYSVILLE POST-ACUTE,CH,CHANGE OF OWNERSHIP,2016-04-01,O20100724000276,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1912086976,N,555682,5890607832,MARYSVILLE NURSING & REHAB LLC,MARYSVILLE CARE CENTER
O20150828001794,WA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1225414212,N,505526,0244546752,SOUTH HILL OPERATIONS LLC,LIFE CARE CENTER OF SOUTH HILL,CH,CHANGE OF OWNERSHIP,2016-01-01,O20140826002548,WA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1396150215,N,505526,8820076839,"VALLEY TERRACE OPERATIONS, LLC",LIFE CARE CENTER OF SOUTH HILL
