ENROLLMENT ID,ENROLLMENT STATE,PROVIDER TYPE CODE,PROVIDER TYPE TEXT,NPI,MULTIPLE NPI FLAG,CCN,ASSOCIATE ID,ORGANIZATION NAME,DOING BUSINESS AS NAME,INCORPORATION DATE,INCORPORATION STATE,ORGANIZATION TYPE STRUCTURE,ORGANIZATION OTHER TYPE TEXT,PROPRIETARY_NONPROFIT,NURSING HOME PROVIDER NAME,AFFILIATION ENTITY NAME,AFFILIATION ENTITY ID,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE
O20020801000000,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1346210291,N,345500,6103733167,WINDSOR POINT INC.,WINDSOR POINT INC CCRC,1995-07-07,NC,CORPORATION,,P,WINDSOR POINT CONTINUING CARE,,,1221 BROAD STREET,,FUQUAY-VARINA,NC,275263602
O20020805000004,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1912906694,N,375417,6901713973,N&R OF WESTHAVEN L L C,WESTHAVEN NURSING HOME,,,LLC,,P,WESTHAVEN NURSING HOME,,,1215 S. WESTERN,WESTERN NURSING HOME,STILLWATER,OK,740745151
O20020814000007,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1104838606,N,445316,7012824014,"HILLCREST HEALTHCARE, LLC",HILLCREST HEALTHCARE,1995-10-16,TN,LLC,,P,HILLCREST HEALTHCARE CENTER,,,111  PEMBERTON                     DR,,ASHLAND CITY,TN,370151353
O20020814000013,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1477576346,N,445463,2466369467,BELLS NURSING HOME INC,BELLS NURSING AND REHABILITATION CENTER,1987-12-17,TN,CORPORATION,,P,BELLS NURSING AND REHABILITATION CENTER,,,213 HERNDON DR,,BELLS,TN,380063654
O20020816000002,MA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1760479851,N,225513,1850208877,BEAUMONT WHITNEY PLACE NORTHBOROUGH,BEAUMONT REHABILITATION & SKILLED NURSING CENTER AT NORTHBORO,2002-02-12,MA,LLC,,P,BEAUMONT REHAB & SKILLED NURSING CTR - NORTHBORO,,,238 W MAIN ST,,NORTHBOROUGH,MA,015321804
O20020819000013,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1750339438,N,245262,7719894732,MORRIS HEALTH SERVICES,WEST WIND VILLAGE,1963-08-01,MN,CORPORATION,,N,WEST WIND VILLAGE,ST. FRANCIS HEALTH SERVICES,487,1001 SCOTTS AVE,,MORRIS,MN,562671763
O20020819000014,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1609864354,N,245381B,8628985645,"NEW HARMONY CARE CENTER, INC.",HARMONY GARDENS,1995-10-25,MN,CORPORATION,,N,HARMONY GARDENS,CASSIA,120,1438 COUNTY ROAD C E,,MAPLEWOOD,MN,551091050
O20020820000006,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1265502405,N,555707,9436066461,ICC CONVALESCENT LLC,IMPERIAL CARE CENTER LLC,2002-01-25,CA,LLC,,P,IMPERIAL CARE CENTER,LONGWOOD MANAGEMENT CORPORATION,323,11441 VENTURA BLVD,,STUDIO CITY,CA,916043143
O20020822000008,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1851362511,N,445469,6901713932,IVY HALL INC,IVY HALL NURSING HOME,1961-06-13,TN,CORPORATION,,P,IVY HALL NURSING HOME,,,301 SOUTH WATAUGA AVE,,ELIZABETHTON,TN,376433546
O20020824000000,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1427019413,N,445476,0042127987,HILLCREST HEALTHCARE COMMUNITIES INC,ISLAND HOME PARK HEALTH AND REHAB,1960-12-19,TN,CORPORATION,,N,ISLAND HOME PARK HEALTH AND REHAB,,,1758 HILLWOOD DR,,KNOXVILLE,TN,379202600
O20020824000002,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1841332855,N,445468,6305753245,"DYER NURSING HOME, INC.",DYER NURSING AND REHABILITATION CENTER,1994-06-08,TN,CORPORATION,,P,DYER NURSING AND REHABILITATION CENTER,,,1124 NORTH MAIN STREET,,DYER,TN,383301033
O20020824000003,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1497807119,N,445467,7214844158,"CROCKETT COUNTY NURSING HOME, INC.",ALAMO NURSING AND REHABILITATION CENTER,1980-03-18,TN,CORPORATION,,P,ALAMO NURSING AND REHABILITATION CENTER,,,580 W MAIN ST,,ALAMO,TN,380011545
O20020828000001,MD,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1265433528,N,215341,1254248107,"LORIEN HARFORD, INC",LORIEN BEL AIR,1998-12-17,MD,CORPORATION,,P,LORIEN NSG & REHAB CTR BELAIR,LORIEN HEALTH SERVICES,324,1909 EMMORTON RD,LORIEN BEL AIR,BEL AIR,MD,210156256
O20020829000002,FL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1265427934,N,105319C,5092622951,SUN CITY CENTER ASSOCIATES LTD LP,SUN TERRACE HEALTH CARE CENTER,1963-01-12,GA,OTHER,LIMITED PARTNERSHIP,P,SUN TERRACE HEALTH CARE CENTER,CLEAR CHOICE HEALTHCARE,149,105 TRINITY LAKES DR,,SUN CITY CENTER,FL,335735728
O20020829000012,NJ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1558360255,N,315479,2961319827,"CARE TWO, LLC",CARE ONE AT LIVINGSTON,1998-08-21,DE,LLC,,P,CAREONE AT LIVINGSTON,CAREONE,109,68 PASSAIC AVE,,LIVINGSTON,NJ,070395811
O20020903000000,IL,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1992894802,N,146049,4385551258,IROQUOIS MEMORIAL HOSPITAL AND RESIDENT HOME,IROQUOIS RESIDENT HOME,1958-09-07,IL,CORPORATION,,N,"IROQUOIS RESIDENT HOME, THE",,,200 E FAIRMAN AVE,,WATSEKA,IL,609701644
O20020904000008,WA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1558360024,N,505074,9234046103,MANOR PARK HEALTHCARE LLC,PARK MANOR REHABILITATION CENTER,2002-07-15,NV,LLC,,P,PARK MANOR REHABILITATION CTR,THE ENSIGN GROUP,507,1710 PLAZA WAY,,WALLA WALLA,WA,993624362
O20020904000020,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1760477558,N,555070,3476460353,SOUTHLAND MANAGMENT LLC,SOUTHLAND,1999-10-30,NV,LLC,,P,SOUTHLAND,THE ENSIGN GROUP,507,11701 STUDEBAKER ROAD,,NORWALK,CA,906507544
O20020909000010,NY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1033110770,N,335842,1850208752,PECONIC LANDING AT SOUTHOLD INC,"PECONIC LANDING AT SOUTHOLD, INC.",1994-12-30,NY,CORPORATION,,N,PECONIC LANDING AT SOUTHOLD,,,1500 BRECKNOCK RD,,GREENPORT,NY,119443117
O20020910000037,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1558308692,N,115387,6709793615,TOOMBS NURSING HOME LLC,OXLEY PARK HEALTH AND REHABILITATION,2002-07-01,GA,LLC,,N,OXLEY PARK HEALTH AND REHABILITATION,"HEALTH SCHOLARSHIPS, INC.",256,181 OXLEY DR,,LYONS,GA,304365644
O20020911000000,KY,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1962514380,N,185125,0244147163,"HILLCREST NURSING HOME OF CORBIN, INC.",HILLCREST HEALTH & REHABILITATION CENTER,1972-01-10,KY,CORPORATION,,P,HILLCREST HEALTH AND REHABILITATION CENTER,SEKY HOLDING CO.,468,1245 AMERICAN GREETING CARD ROAD,,CORBIN,KY,407014881
O20020911000014,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1821190158,N,366253,6204743123,"SOUTH BROADWAY HEALTHCARE GROUP, INC",AMBERWOOD MANOR,2002-08-23,OH,CORPORATION,,P,AMBERWOOD MANOR,SABER HEALTHCARE GROUP,461,245 S BROADWAY ST,,NEW PHILADELPHIA,OH,446633842
O20020912000012,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1235171174,N,115507,3870400690,TAYLOR COUNTY HEALTH CARE LLC,TAYLOR COUNTY HEALTH AND REHABILITATION,2002-07-01,GA,LLC,,N,TAYLOR COUNTY HEALTH AND REHABILITATION,"HEALTH SYSTEMS FACILITIES, INC.",258,165 S BROAD ST,,BUTLER,GA,310065526
O20020913000002,VA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1073500310,N,495366,8820905748,"LAKE PRINCE CENTER, INC.",LAKE PRINCE WOODS,1999-07-12,NC,CORPORATION,,N,"LAKE PRINCE WOODS, INC",EVERYAGE SENIOR LIVING,675,100 ANNA GOODE WAY,,SUFFOLK,VA,234349236
